X,Y,ObjectId,AQSID,CountryCode,DataSource,EPARegion,Elevation,GMTOffset,Latitude,LocalTimeString,Longitude,OZONE,OZONEPM_AQI,OZONEPM_AQI_LABEL,OZONEPM_AQI_SORT,OZONE_AQI,OZONE_AQI_LABEL,OZONE_AQI_SORT,OZONE_Measured,OZONE_Unit,PM10,PM10_AQI,PM10_AQI_LABEL,PM10_AQI_SORT,PM10_Measured,PM10_Unit,PM25,PM25_AQI,PM25_AQI_LABEL,PM25_AQI_SORT,PM25_Measured,PM25_Unit,PM_AQI,PM_AQI_LABEL,PM_AQI_SORT,ReportingArea_PipeDelimited,SiteName,StateName,Status
-13765242.5809,6247427.4252,277719996,000106702,CA,British Columbia Ministry of Environment,CA,0,-8,48.838056,Fri 08/18/2023 12:00 AM PDT,-123.655278,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,1821 ESCARPMENT WAY,CC,Inactive
-12341687.7081,3946585.1432,277719997,040070011,US,Arizona Department of Environmental Quality,R9,0,-7,33.3855,Fri 08/18/2023 12:00 AM MST,-110.867267,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,Miami Jones Ranch,AZ,Active
9499582.9981,3216069.9795,277719998,KM1010001,NP,U.S. Department of State Nepal - Kathmandu,DSNP,0,5.75,27.738703,Fri 08/18/2023 12:45 PM +0545,85.336206,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,Embassy Kathmandu,Embassy Kathmandu,,Active
-10298511.1837,5272950.286,277719999,190170011,US,Iowa DNR,R7,0,-6,42.743099,Fri 08/18/2023 02:00 AM CDT,-92.5131,,14,14,14,14,14,14,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Waterloo,"Waverly, Airport",IA,Active
-10126244.2717,3533071.2873,277720000,220050004,US,Louisiana Department of Environmental Quality,R6,0,-6,30.2294,Fri 08/18/2023 02:00 AM CDT,-90.9656,19,22,22,22,22,22,22,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Baton Rouge Area,Dutchtown,LA,Active
-13299896.1625,6422255.4666,277720001,000100701,CA,British Columbia Ministry of Environment,CA,300.1,-8,49.8611,Fri 08/18/2023 12:00 AM PDT,-119.475,,,ND,-999,,ND,-999,1,,,,ND,-999,1,,,,ND,-999,1,,,ND,-999,,Kelowna College,CC,Inactive
-13731088.4253,5226236.3511,277720002,410330114,US,Oregon Dept. of Environmental Quality,R10,280,-8,42.434149,Fri 08/18/2023 12:00 AM PDT,-123.348466,,112,112,112,,ND,-999,0,,,,ND,-999,0,,28.2,112,112,112,1,UG/M3,112,112,112,Grants Pass,Grants Pass - Parkside School,OR,Active
-13432332.9607,6040367.105,277720003,530070010,US,Washington Department of Ecology,R10,357.2,-8,47.5988,Fri 08/18/2023 12:00 AM PDT,-120.6647,,22,22,22,,ND,-999,0,,,,ND,-999,0,,,22,22,22,1,,22,22,22,Leavenworth,Leavenworth-Evans St,WA,Active
-8900995.1643,3867595.4536,277720004,450190049,US,South Carolina DHEC,R4,4,-5,32.791,Fri 08/18/2023 03:00 AM EDT,-79.959,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,Charleston,Charleston Public Works,SC,Inactive
15540829.2019,4404401.8126,277720005,009206010,,Japan Ministry of Environment,,0,9,36.75061,Fri 08/18/2023 04:00 PM JST,139.605644,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 009206010,,Active
